Date,dt,Price,Open,High,Low,Vol.,Change %,,,,,,,,,,,,,,,,,
"Dec 03, 2018",03/12/2018,78,81,81.36,76.27,738.60K,-1.33%,,,03/12/2018,,81.36,,78,,,,,,,,,Jan,01
"Dec 04, 2018",04/12/2018,73.97,76.81,78.55,73.48,706.24K,-5.17%,,,04/12/2018,,78.55,,73.97,,,,,,,,,Feb,02
"Dec 06, 2018",06/12/2018,75.5,72.81,76.11,72.02,475.53K,2.07%,,,06/12/2018,,76.11,,75.5,,,,,,,,,Mar,03
"Dec 07, 2018",07/12/2018,72.9,75.51,77.44,72.42,469.34K,-3.44%,,,07/12/2018,,77.44,,72.9,,,,,,,,,Apr,04
"Dec 10, 2018",10/12/2018,73.5,72.54,75.37,71.91,458.00K,0.82%,,,10/12/2018,,75.37,,73.5,,,,,,,,,May,05
"Dec 11, 2018",11/12/2018,71.6,74.73,75.34,69.87,499.78K,-2.59%,,,11/12/2018,,75.34,,71.6,,,,,,,,,Jun,06
"Dec 12, 2018",12/12/2018,72.74,72.64,74.36,71.71,266.13K,1.59%,,,12/12/2018,,74.36,,72.74,,,,,,,,,Jul,07
"Dec 13, 2018",13/12/2018,69.95,72.82,73.63,69.22,316.68K,-3.84%,,,13/12/2018,,73.63,,69.95,,,,,,,,,Aug,08
"Dec 14, 2018",14/12/2018,69.34,69.12,71.31,68.32,338.65K,-0.87%,,,14/12/2018,,71.31,,69.34,,,,,,,,,Sep,09
"Dec 17, 2018",17/12/2018,65.97,68.86,69.53,65.11,607.77K,-4.86%,,,17/12/2018,,69.53,,65.97,,,,,,,,,Oct,10
"Dec 18, 2018",18/12/2018,66.88,66.81,68,65.19,316.14K,1.38%,,,18/12/2018,,68,,66.88,,,,,,,,,Nov,11
"Dec 19, 2018",19/12/2018,64.53,66.85,67.95,62.48,403.68K,-3.51%,,,19/12/2018,,67.95,,64.53,,,,,,,,,Dec,12
"Dec 20, 2018",20/12/2018,59.89,64,64.07,59.29,554.61K,-7.19%,,,20/12/2018,,64.07,,59.89,,,,,,,,,,
"Dec 21, 2018",21/12/2018,60.29,59.98,61.62,59.19,667.82K,0.67%,,,21/12/2018,,61.62,,60.29,,,,,,,,,,
"Dec 24, 2018",24/12/2018,59.37,59.62,60.88,58.48,200.18K,-1.53%,,,24/12/2018,,60.88,,59.37,,,,,,,,,,
"Dec 26, 2018",26/12/2018,63.37,59.94,63.55,59.94,348.31K,6.74%,,,26/12/2018,,63.55,,63.37,,,,,,,,,,
"Dec 27, 2018",27/12/2018,63.74,62.14,63.75,60.97,279.59K,0.58%,,,27/12/2018,,63.75,,63.74,,,,,,,,,,
