Date,,Price,Open,High,Low,Vol.,Change %,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Jan,01
"Mar 01, 2016",,45.91,43.87,46.59,43.87,849.16K,3.82%,,01/03/2016,,46.59,,45.91,,,,,,,,,Feb,02
"Mar 02, 2016",,44.22,45.03,46.15,43.35,705.63K,-0.45%,,02/03/2016,,46.15,,44.22,,,,,,,,,Mar,03
"Mar 03, 2016",,44.42,43.24,44.48,42.1,991.24K,2.14%,,03/03/2016,,44.48,,44.42,,,,,,,,,Apr,04
"Mar 04, 2016",,43.49,42.95,44.99,41.82,1.10M,2.64%,,04/03/2016,,44.99,,43.49,,,,,,,,,May,05
"Mar 07, 2016",,42.37,42.3,43.84,41.14,873.44K,-0.16%,,07/03/2016,,43.84,,42.37,,,,,,,,,Jun,06
"Mar 08, 2016",,42.44,45.45,46.02,42.29,1.06M,-6.62%,,08/03/2016,,46.02,,42.44,,,,,,,,,Jul,07
"Mar 09, 2016",,45.45,45.47,46.8,44.59,1.03M,-0.83%,,09/03/2016,,46.8,,45.45,,,,,,,,,Aug,08
"Mar 10, 2016",,45.83,44.05,46.29,43.5,1.19M,3.38%,,10/03/2016,,46.29,,45.83,,,,,,,,,Sep,09
"Mar 11, 2016",,44.33,44.89,45.98,43.83,1.64M,-0.61%,,11/03/2016,,45.98,,44.33,,,,,,,,,Oct,10
"Mar 14, 2016",,44.6,44.25,46.69,42.85,1.30M,1.07%,,14/03/2016,,46.69,,44.6,,,,,,,,,Nov,11
"Mar 15, 2016",,44.13,44.14,46.74,43,1.14M,-1.74%,,15/03/2016,,46.74,,44.13,,,,,,,,,Dec,12
"Mar 16, 2016",,44.91,47.95,48.23,44,1.56M,-8.14%,,16/03/2016,,48.23,,44.91,,,,,,,,,,
"Mar 17, 2016",,48.89,50.65,51.5,48,1.09M,-3.42%,,17/03/2016,,51.5,,48.89,,,,,,,,,,
"Mar 18, 2016",,50.62,48.71,50.86,48.16,935.41K,4.85%,,18/03/2016,,50.86,,50.62,,,,,,,,,,
"Mar 21, 2016",,48.28,50.22,51.27,47.53,827.71K,-2.07%,,21/03/2016,,51.27,,48.28,,,,,,,,,,
"Mar 22, 2016",,49.3,51.85,52.22,47.79,1.20M,-4.46%,,22/03/2016,,52.22,,49.3,,,,,,,,,,
"Mar 23, 2016",,51.6,53.34,53.97,51.07,664.92K,-3.73%,,23/03/2016,,53.97,,51.6,,,,,,,,,,
"Mar 24, 2016",,53.6,54.79,56.11,52.9,1.19M,-1.54%,,24/03/2016,,56.11,,53.6,,,,,,,,,,
"Mar 28, 2016",,54.44,51.92,56.12,50.5,1.46M,5.22%,,28/03/2016,,56.12,,54.44,,,,,,,,,,
"Mar 29, 2016",,51.74,53.99,54.79,51.06,1.17M,-3.85%,,29/03/2016,,54.79,,51.74,,,,,,,,,,
"Mar 30, 2016",,53.81,51,54.98,50.2,2.06M,5.10%,,30/03/2016,,54.98,,53.81,,,,,,,,,,
"Mar 31, 2016",,51.2,44.03,52.22,43.1,2.67M,14.49%,,31/03/2016,,52.22,,51.2,,,,,,,,,,
"Apr 01, 2016",,48.63,45.56,48.99,44.69,1.15M,5.92%,,01/04/2016,,48.99,,48.63,,,,,,,,,,
