"תאריך","שער","פתיחה","גבוה","נמוך","נפח","שינוי %"
"04.08.2021","216.1","216.1","216.1","216.1","-","0.00%"
"03.08.2021","216.1","218.7","218.7","212.2","354.74K","-1.19%"
"02.08.2021","218.7","220.0","224.8","216.0","408.85K","0.00%"
"01.08.2021","218.7","219.0","222.0","214.5","315.78K","3.06%"
"29.07.2021","212.2","204.0","213.8","202.0","479.79K","3.66%"
"28.07.2021","204.7","209.5","209.5","201.5","383.05K","-2.29%"
"27.07.2021","209.5","215.0","215.0","208.4","177.03K","-2.83%"
"26.07.2021","215.6","218.0","225.0","214.0","119.36K","-1.51%"
"25.07.2021","218.9","220.0","223.0","218.0","57.16K","0.78%"
"22.07.2021","217.2","221.0","222.0","216.7","266.96K","-1.76%"
"21.07.2021","221.1","214.1","222.0","214.0","143.46K","4.19%"
"20.07.2021","212.2","214.9","215.0","210.1","102.61K","1.68%"
"19.07.2021","208.7","225.5","225.5","208.0","446.05K","-9.54%"
"15.07.2021","230.7","236.0","236.0","225.5","223.77K","-4.35%"
"14.07.2021","241.2","255.0","255.0","238.0","614.83K","-1.55%"
"13.07.2021","245.0","233.2","249.0","233.2","938.90K","4.84%"
"12.07.2021","233.7","234.3","237.0","230.1","218.35K","-0.60%"
"11.07.2021","235.1","237.5","237.5","232.0","306.55K","2.57%"
"08.07.2021","229.2","237.8","237.8","224.5","350.81K","-2.55%"
"07.07.2021","235.2","228.0","238.3","228.0","287.50K","3.16%"
"06.07.2021","228.0","227.2","230.1","223.7","380.90K","2.80%"
"05.07.2021","221.8","223.0","226.8","220.1","171.30K","-0.54%"
"04.07.2021","223.0","222.3","227.7","222.1","254.72K","0.31%"
"01.07.2021","222.3","218.0","222.3","214.1","2.45M","0.63%"
"30.06.2021","220.9","224.5","225.4","220.8","262.06K","-3.87%"
"29.06.2021","229.8","234.8","235.6","228.0","418.08K","-1.46%"
"28.06.2021","233.2","229.0","235.0","224.4","473.83K","3.92%"
"27.06.2021","224.4","228.0","228.0","224.0","285.68K","-1.84%"
"24.06.2021","228.6","227.0","230.4","225.8","430.39K","-0.74%"
"23.06.2021","230.3","242.5","242.5","226.3","1.08M","-2.83%"
"22.06.2021","237.0","229.0","241.6","229.0","665.21K","2.60%"
"21.06.2021","231.0","229.2","232.3","227.5","494.04K","0.74%"
"20.06.2021","229.3","235.0","236.0","228.7","316.48K","-2.67%"
"17.06.2021","235.6","243.0","243.0","233.6","413.78K","-3.05%"
"16.06.2021","243.0","252.0","252.0","238.0","445.82K","-3.69%"
"15.06.2021","252.3","258.8","261.8","250.0","560.60K","-2.51%"
"14.06.2021","258.8","258.0","259.9","254.0","296.95K","0.90%"
"13.06.2021","256.5","254.8","257.0","249.8","385.08K","2.27%"
"10.06.2021","250.8","246.7","254.0","243.2","835.90K","4.15%"
"09.06.2021","240.8","230.0","243.5","230.0","812.91K","5.29%"
