תאריך,dt,שער,פתיחה,גבוה,נמוך,נפח,שינוי %,,,,,,,,,,,,,,,,,
03.01.2021,03/01/2021,345,345,355,342.6,247.50K,0.70%,,,03/01/2021,,355,,345,,,,,,,,,,
04.01.2021,04/01/2021,339.4,351.9,351.9,337,335.17K,-1.62%,,,04/01/2021,,351.9,,339.4,,,,,,,,,,
05.01.2021,05/01/2021,336.5,340,345.9,330.5,294.24K,-0.85%,,,05/01/2021,,345.9,,336.5,,,,,,,,,,
06.01.2021,06/01/2021,345.9,330.5,350,330.5,233.50K,2.79%,,,06/01/2021,,350,,345.9,,,,,,,,,,
07.01.2021,07/01/2021,351,345.9,360,345.9,432.82K,1.47%,,,07/01/2021,,360,,351,,,,,,,,,,
10.01.2021,10/01/2021,343.2,359.4,359.4,341.2,523.66K,-2.22%,,,10/01/2021,,359.4,,343.2,,,,,,,,,,
11.01.2021,11/01/2021,337.1,344,349.2,332.3,433.89K,-1.78%,,,11/01/2021,,349.2,,337.1,,,,,,,,,,
12.01.2021,12/01/2021,337.8,333,340,333,158.32K,0.21%,,,12/01/2021,,340,,337.8,,,,,,,,,,
13.01.2021,13/01/2021,337.6,340,344.4,334,261.31K,-0.06%,,,13/01/2021,,344.4,,337.6,,,,,,,,,,
14.01.2021,14/01/2021,348.9,337.7,353.2,337.7,459.74K,3.35%,,,14/01/2021,,353.2,,348.9,,,,,,,,,,
17.01.2021,17/01/2021,382,353,384,348.8,1.51M,9.49%,,,17/01/2021,,384,,382,,,,,,,,,,
18.01.2021,18/01/2021,372.1,385,390,367,1.26M,-2.59%,,,18/01/2021,,390,,372.1,,,,,,,,,,
19.01.2021,19/01/2021,349.3,373.4,382.2,348,921.46K,-6.13%,,,19/01/2021,,382.2,,349.3,,,,,,,,,,
20.01.2021,20/01/2021,345.3,353,354.9,343.2,422.78K,-1.15%,,,20/01/2021,,354.9,,345.3,,,,,,,,,,
21.01.2021,21/01/2021,362.3,380,380,360.1,1.04M,4.92%,,,21/01/2021,,380,,362.3,,,,,,,,,,
24.01.2021,24/01/2021,363.6,378.8,378.8,361,613.99K,0.36%,,,24/01/2021,,378.8,,363.6,,,,,,,,,,
25.01.2021,25/01/2021,361.1,363.1,368.9,355,309.84K,-0.69%,,,25/01/2021,,368.9,,361.1,,,,,,,,,,
26.01.2021,26/01/2021,370.3,361.2,375,361.2,457.11K,2.55%,,,26/01/2021,,375,,370.3,,,,,,,,,,
27.01.2021,27/01/2021,360.2,371,377,357,409.47K,-2.73%,,,27/01/2021,,377,,360.2,,,,,,,,,,
28.01.2021,28/01/2021,356.5,360.1,364.1,350,269.47K,-1.03%,,,28/01/2021,,364.1,,356.5,,,,,,,,,,
31.01.2021,31/01/2021,350.8,356.6,358.3,345.4,201.57K,-1.60%,,,31/01/2021,,358.3,,350.8,,,,,,,,,,
01.02.2021,01/02/2021,353.1,350.8,357.8,350.8,220.30K,0.66%,,,01/02/2021,,357.8,,353.1,,,,,,,,,,
02.02.2021,02/02/2021,358.7,354.1,359.9,350.1,188.59K,1.59%,,,02/02/2021,,359.9,,358.7,,,,,,,,,,
03.02.2021,03/02/2021,357.2,360,362.2,355.5,400.81K,-0.42%,,,03/02/2021,,362.2,,357.2,,,,,,,,,,
04.02.2021,04/02/2021,340.1,357.2,363.8,340.1,1.98M,-4.79%,,,04/02/2021,,363.8,,340.1,,,,,,,,,,
07.02.2021,07/02/2021,349.3,347,352.2,347,215.68K,2.71%,,,07/02/2021,,352.2,,349.3,,,,,,,,,,
08.02.2021,08/02/2021,369.5,351.8,372,351.7,486.96K,5.78%,,,08/02/2021,,372,,369.5,,,,,,,,,,
09.02.2021,09/02/2021,430,369.5,440.1,369.5,2.51M,16.37%,,,09/02/2021,,440.1,,430,,,,,,,,,,
