"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 20, 2020","1.500","1.500","1.540","1.460","99.57K","0.00%"
"Feb 19, 2020","1.500","1.490","1.530","1.430","209.68K","2.04%"
"Feb 18, 2020","1.470","1.450","1.480","1.430","202.94K","1.38%"
"Feb 14, 2020","1.450","1.420","1.490","1.420","165.60K","2.11%"
"Feb 13, 2020","1.420","1.410","1.450","1.395","124.30K","0.00%"
"Feb 12, 2020","1.420","1.440","1.460","1.390","132.84K","-1.39%"
"Feb 11, 2020","1.440","1.530","1.530","1.430","273.98K","-5.88%"
"Feb 10, 2020","1.530","1.530","1.530","1.430","140.28K","1.32%"
"Feb 07, 2020","1.510","1.590","1.590","1.480","172.44K","-5.03%"
"Feb 06, 2020","1.590","1.510","1.610","1.440","440.90K","8.16%"
"Feb 05, 2020","1.470","1.530","1.580","1.450","304.82K","-3.92%"
"Feb 04, 2020","1.530","1.430","1.550","1.393","201.27K","6.25%"
"Feb 03, 2020","1.440","1.340","1.440","1.330","277.77K","6.67%"
"Jan 31, 2020","1.350","1.350","1.390","1.340","198.90K","-3.57%"
"Jan 30, 2020","1.400","1.410","1.410","1.255","879.65K","-1.41%"
"Jan 29, 2020","1.420","1.510","1.560","1.410","443.47K","-5.96%"
"Jan 28, 2020","1.510","1.580","1.620","1.510","551.90K","-3.82%"
"Jan 27, 2020","1.570","1.610","1.640","1.560","436.43K","-5.42%"
"Jan 24, 2020","1.660","1.730","1.780","1.620","376.45K","-5.68%"
"Jan 23, 2020","1.760","1.830","1.830","1.697","744.56K","-3.30%"
"Jan 22, 2020","1.820","1.780","1.890","1.740","798.50K","3.41%"
"Jan 21, 2020","1.760","1.750","1.850","1.690","740.91K","4.14%"
"Jan 17, 2020","1.690","1.800","1.805","1.630","958.74K","-0.59%"
"Jan 16, 2020","1.700","1.980","1.980","1.640","5.69M","38.21%"
"Jan 15, 2020","1.230","1.190","1.290","1.190","119.00K","3.36%"
"Jan 14, 2020","1.190","1.270","1.270","1.172","131.21K","-7.03%"
"Jan 13, 2020","1.280","1.180","1.320","1.160","298.59K","8.47%"
"Jan 10, 2020","1.180","1.180","1.190","1.150","122.27K","0.85%"
"Jan 09, 2020","1.170","1.200","1.200","1.150","104.49K","-1.68%"
"Jan 08, 2020","1.190","1.150","1.230","1.100","331.51K","2.59%"
"Jan 07, 2020","1.160","1.160","1.170","1.130","98.76K","0.87%"
"Jan 06, 2020","1.150","1.180","1.180","1.120","152.69K","0.88%"
"Jan 03, 2020","1.140","1.150","1.210","1.120","119.49K","-0.87%"
"Jan 02, 2020","1.150","1.180","1.240","1.140","80.83K","-2.54%"
"Dec 31, 2019","1.180","1.180","1.210","1.130","260.38K","-0.84%"
"Dec 30, 2019","1.190","1.220","1.220","1.100","161.75K","-2.46%"
"Dec 27, 2019","1.220","1.280","1.290","1.200","175.11K","-4.69%"
"Dec 26, 2019","1.280","1.340","1.350","1.210","187.02K","-2.29%"
"Dec 24, 2019","1.310","1.200","1.370","1.190","355.85K","11.02%"
"Dec 23, 2019","1.180","1.130","1.180","1.090","199.18K","7.27%"
"Dec 20, 2019","1.100","1.120","1.140","1.010","302.50K","-1.79%"
"Dec 19, 2019","1.120","1.130","1.170","1.060","132.29K","-2.61%"
"Dec 18, 2019","1.150","1.150","1.150","1.120","109.86K","4.55%"
"Dec 17, 2019","1.100","1.160","1.180","1.070","133.12K","-4.35%"
"Dec 16, 2019","1.150","1.170","1.180","1.100","168.46K","0.88%"
"Dec 13, 2019","1.140","1.140","1.240","1.100","431.27K","-0.87%"
"Dec 12, 2019","1.150","1.370","1.440","1.140","581.04K","-15.44%"
"Dec 11, 2019","1.360","1.090","1.400","1.090","571.68K","23.64%"
"Dec 10, 2019","1.100","1.090","1.130","1.040","189.95K","1.85%"
"Dec 09, 2019","1.080","1.010","1.110","1.000","324.01K","8.00%"
"Dec 06, 2019","1.000","0.940","1.010","0.890","195.00K","6.38%"
"Dec 05, 2019","0.940","1.000","1.010","0.880","324.97K","-6.00%"
"Dec 04, 2019","1.000","1.080","1.130","0.980","676.15K","-6.54%"
"Dec 03, 2019","1.070","1.020","1.120","1.020","255.58K","-1.83%"
"Dec 02, 2019","1.090","1.150","1.170","1.090","144.09K","-4.39%"
"Nov 29, 2019","1.140","1.170","1.200","1.090","268.33K","-3.39%"
"Nov 27, 2019","1.180","1.270","1.320","1.170","452.91K","-7.09%"
"Nov 26, 2019","1.270","1.360","1.400","1.210","478.69K","-5.93%"
"Nov 25, 2019","1.350","1.410","1.500","1.330","294.25K","-2.88%"
"Nov 22, 2019","1.390","1.380","1.420","1.380","248.30K","-1.42%"
